text,label
Uhh!,unclear
I parked my laptop in table,save
Set a reminder to do laundry,reminder
ERRR.,unclear
no need for evening reminder,cancel_specific
lol,unclear
Is there any info on ID card?,search
stand up at 10am,reminder
iPad is in the counter,save
I'd like to stop the wake up reminder,cancel_specific
water the plants at 5pm,reminder
Do you have info about headphones?,search
Can you delete all scheduled reminders please,cancel_all
1 hours reminder to check email,reminder
What's the PIN for ATM?,search
I no longer need the walk reminder,cancel_specific
What is dad's phone number?,search
Tell me my Facebook password,search
remove that sleep reminder,cancel_specific
i need to can you clear all reminders now,cancel_all
Don't forget exam is tomorrow,save
Tom owes me 500,save
Repeat reminder to sleep every 60 minute,reminder
remove my break reminder,cancel_specific
Remind me to eat dinner,reminder
Remind me to drink water in 15 hr,reminder
Remember where my watch is?,search
could you turn off all alerts please,cancel_all
Do you have info about iPad?,search
My bike keys is on the cupboard,save
My mouse is in the garage,save
keys?,unclear
My ID card is in the lot A,save
cancel the yoga reminder,cancel_specific
Remind me to check email after 20 min,reminder
I forgot.,unclear
Please clear all alerts now,cancel_all
ONE SEC,unclear
Where are my laptop?,search
Recall where I put my credit card,search
Remind me to exercise,reminder
bank PIN is 1357,save
Did I return the remote?,search
What is doctor's phone number?,search
Did I note where my medicine is?,search
please please delete all my reminders for me,cancel_all
locker PIN is 0000,save
CAN YOU CLEAR ALL REMINDERS NOW,cancel_all
Remind me to study after 10 hr,reminder
10 hr reminder to stand up,reminder
Remember that interview is next week,save
check email every 60 hour,reminder
I'd like to delete the breakfast reminder,cancel_specific
Quickly stop everything for me,cancel_all
hey!,unclear
JUST CAN YOU CANCEL ALL REMINDERS,cancel_all
i want to get rid of all my reminders,cancel_all
dad's number is 43211493,save
Password for ATM is password123,save
COULD YOU PLEASE TURN OFF ALL MY REMINDERS RIGHT NOW,cancel_all
Remind me every 3 hrs to stretch,reminder
JUST PLEASE CLEAR ALL REMINDERS NOW,cancel_all
Reminder to call mom,reminder
Search for glasses,search
My mom's birthday is 55555786,save
could you stop all notifications please,cancel_all
sister's phone number is 13571068,save
Please find my charger,search
My meeting is next week,save
Wow!,unclear
Cool?,unclear
Give me the GPay PIN,search
JUST CAN YOU STOP ALL REMINDERS IMMEDIATELY,cancel_all
XYZ?,unclear
Where is my glasses?,search
FORGET IT.,unclear
ONE SEC.,unclear
meditate after 30 minutes,reminder
Search passport,search
The code for WiFi is admin123,save
My phone number is 00008772,save
My birthday is 00008625,save
I need to find my sunglasses,search
My sister's birthday is 55559281,save
45 minutes reminder to read,reminder
please remove yoga reminder,cancel_specific
Set alarm for 7pm to go to gym,reminder
Have I saved anything about keys?,search
Wake me up at 7am,reminder
delete that workout reminder,cancel_specific
Can you find my sunglasses?,search
CAN YOU STOP ALL ALARMS PLEASE,cancel_all
i need to clear all pending reminders right now,cancel_all
I don't need the vitamins reminder,cancel_specific
....,unclear
PIN for garage is 4321,save
I need a reminder to charge phone,reminder
Remind me to drink water every 2 minute,reminder
Look for my iPad,search
UH,unclear
deactivate lunch reminder,cancel_specific
ummm!,unclear
JUST CANCEL EVERYTHING NOW,cancel_all
Remind me to stretch in 30 hour,reminder
yeah??,unclear
Wake me up at 1pm,reminder
stop vitamins reminder,cancel_specific
stop all my reminders immediately,cancel_all
Where did I keep my keys?,search
Remind me to eat dinner every 3 min,reminder
Have I saved anything about mouse?,search
Get my laptop location,search
please turn off every reminder for me,cancel_all
Tell me where my earphones is,search
Remind me to sleep in 45 hrs,reminder
My birthday is 24682207,save
I need to I want to remove all reminders,cancel_all
AND?.,unclear
Have I saved anything about glasses?,search
Recall where I put my phone,search
I have put my car keys in the lot B,save
My brother's phone number is 43214709,save
remove stretch reminder,cancel_specific
ATM PIN is 7890,save
Quickly can you turn off all reminders now,cancel_all
I'd like to delete the posture reminder,cancel_specific
I borrowed 1000 from Emma,save
I don't want the breakfast reminder anymore,cancel_specific
eat dinner every 1 min,reminder
Do I have book?,search
delete the reminder to take medicine,cancel_specific
Look up cable,search
could you clear all of them for me,cancel_all
20 hours reminder to take medicine,reminder
The code for WiFi is secret456,save
Don't forget interview is tomorrow,save
My birthday is 24682205,save
Recurring reminder every 15 minutes to attend meeting,reminder
Did I save credit card?,search
I don't want the water reminder anymore,cancel_specific
could you stop all active reminders,cancel_all
Emma owes me 100,save
Where's my house keys?,search
Meh.,unclear
deactivate breakfast reminder,cancel_specific
go?,unclear
great?,unclear
Did I save phone?,search
no more evening reminder,cancel_specific
The office WiFi password is abc123,save
friend's phone number is 78907247,save
Can you remove all pending reminders,cancel_all
Remind me to take a break please,reminder
Quickly stop all alarms please,cancel_all
Did I save medicine?,search
Remind me to call dad,reminder
Hello!,unclear
Where's the water bottle?,search
disable yoga reminder,cancel_specific
just remove everything please,cancel_all
What's the laptop password?,search
cancel bills reminder,cancel_specific
I NEED TO REMOVE ALL PENDING REMINDERS FOR ME,cancel_all
I don't need the call reminder,cancel_specific
Remind me to meditate in 3 mins,reminder
Where is my ID card?,search
Have I saved anything about earphones?,search
Have I saved anything about medicine?,search
It!,unclear
i need to can you cancel all reminders for me,cancel_all
Remind me to practice yoga in 45 minute,reminder
After 30 mins remind me to clean room,reminder
turn off every reminder immediately,cancel_all
Create a reminder to study,reminder
please can you clear all reminders please,cancel_all
omg!,unclear
Wake me up at 8am,reminder
Did I return the mouse?,search
I borrowed the tablet from Sarah,save
Remind me at 4pm to buy groceries,reminder
hiya?,unclear
Ohh!,unclear
I?,unclear
DELETE ALL SCHEDULED REMINDERS RIGHT NOW,cancel_all
Look for my water bottle,search
Remind me every 30 hrs to charge phone,reminder
Why?.,unclear
Every 2 minutes remind me to attend meeting,reminder
Don't forget deadline is next week,save
cancel my vitamins reminder,cancel_specific
Give me my Google password,search
Remind me to drink water in 60 minutes,reminder
stop that exercise reminder,cancel_specific
Really??,unclear
JUST DELETE EVERY REMINDER IMMEDIATELY,cancel_all
My ID card is in the office,save
Find my camera,search
Search for headphones,search
could you clear every reminder now,cancel_all
After 3 minutes remind me to eat dinner,reminder
What is the office WiFi password?,search
eat dinner after 15 minute,reminder
Quickly end all reminders right now,cancel_all
please stop all pending reminders please,cancel_all
In 60 hr remind me to sleep,reminder
Find the phone,search
could you i want to cancel all my reminders immediately,cancel_all
My number is 13577488,save
What's the phone password?,search
IT!,unclear
clean room after 45 hr,reminder
I left my house keys on the cabinet,save
cancel the reminder to drink water,cancel_specific
I need to find my remote,search
Don't forget meeting is at 3pm,save
So.,unclear
I need to stop all pending reminders now,cancel_all
Where's the umbrella?,search
Remind me to clean room after 45 hour,reminder
please cancel hourly reminder,cancel_specific
I'd like to cancel the posture reminder,cancel_specific
Show me where my bike keys is,search
Emma has my umbrella,save
Give me the Facebook PIN,search
Recurring reminder every 20 hr to check email,reminder
I'd like to cancel the walk reminder,cancel_specific
My Gmail password is test1234,save
I want to remove the medicine reminder,cancel_specific
JUST CANCEL EVERY REMINDER PLEASE,cancel_all
just delete all reminders for me,cancel_all
What is the Facebook password?,search
What's my laptop password?,search
Reminder in 45 hour to do laundry,reminder
don't remind me about yoga anymore,cancel_specific
remove that walk reminder,cancel_specific
Where is the glasses?,search
Repeat reminder to exercise every 3 hour,reminder
i need to turn off all the reminders immediately,cancel_all
At 4pm remind me to buy groceries,reminder
remove exercise reminder,cancel_specific
Reminder in 5 min to feed the pet,reminder
please cancel workout reminder,cancel_specific
GOT IT!,unclear
NEVER MIND,unclear
Can you remove all reminders please,cancel_all
please delete exercise reminder,cancel_specific
i need to delete all my reminders right now,cancel_all
Search remote,search
disable wake up reminder,cancel_specific
I'd like to stop the break reminder,cancel_specific
quickly remove all the reminders immediately,cancel_all
John has my bike keys,save
cancel the lunch reminder,cancel_specific
delete grocery reminder,cancel_specific
What is my locker PIN?,search
Can you cancel all my reminders for me,cancel_all
Give me the WiFi PIN,search
Please find my glasses,search
My exam is on Monday,save
GO!,unclear
After 20 minutes remind me to do laundry,reminder
don't remind me about meeting anymore,cancel_specific
i don't know.,unclear
I put my tablet in the shelf,save
cancel the break reminder,cancel_specific
brother's phone number is 13572170,save
YEP!,unclear
I want to stop the sleep reminder,cancel_specific
Find my watch,search
Tell me my office WiFi password,search
After 3 hrs remind me to water the plants,reminder
I NEED TO JUST DELETE ALL MY REMINDERS FOR ME,cancel_all
Lisa owes me 2000,save
60 hours reminder to practice yoga,reminder
Where's my purse?,search
Where's the debit card?,search
I left my jacket on the bag,save
can you just turn off all my reminders,cancel_all
Could you can you cancel all reminders,cancel_all
Set alarm for 3pm to eat breakfast,reminder
Set a reminder to feed the pet,reminder
Note that meeting is at 9am,save
cancel the reminder to take medicine,cancel_specific
deactivate vitamins reminder,cancel_specific
OOPS!,unclear
Did I put remote somewhere?,search
TURN OFF ALL NOTIFICATIONS PLEASE,cancel_all
CLEAR ALL MY REMINDERS RIGHT NOW,cancel_all
RE.,unclear
delete my wake up reminder,cancel_specific
delete posture reminder,cancel_specific
Did I note where my water bottle is?,search
i want to cancel all of them for me,cancel_all
can you please turn off all my reminders,cancel_all
i want to stop all recurring reminders immediately,cancel_all
read at 5am,reminder
Do I have ID card?,search
can you remove all my reminders immediately,cancel_all
How?.,unclear
okay,unclear
Don't let me forget to stand up,reminder
Is there any info on book?,search
Ummm.,unclear
remove my email reminder,cancel_specific
Where can I find my water bottle?,search
remove the bills reminder,cancel_specific
please cancel lunch reminder,cancel_specific
I kept my laptop in the counter,save
no more morning reminder,cancel_specific
The flight is next week,save
stop reminding me about break,cancel_specific
Where did I place my TV remote?,search
Don't let me forget to go to gym,reminder
Remind me to attend meeting at 8pm,reminder
stop reminding me about walk,cancel_specific
I don't need the posture reminder,cancel_specific
What is the ATM password?,search
water the plants every 30 hr,reminder
walk around at 12pm,reminder
Please find my umbrella,search
i want to remove all the reminders for me,cancel_all
quickly I want all reminders gone immediately,cancel_all
I left my passport on the living room,save
Do you have info about house keys?,search
COULD YOU JUST REMOVE ALL MY REMINDERS FOR ME,cancel_all
AND?,unclear
COULD YOU I WANT TO CANCEL ALL MY REMINDERS NOW,cancel_all
PASS!,unclear
Give me the Netflix PIN,search
UM!,unclear
3 hours reminder to buy groceries,reminder
I'd like to cancel the rent reminder,cancel_specific
The code for WiFi is pass@123,save
Quickly i want to clear all reminders now,cancel_all
My address is 12344775,save
Sure!,unclear
PIN for Netflix is 0000,save
I want to remove the meeting reminder,cancel_specific
REALLY?.,unclear
Where did I place my car keys?,search
Wake me at 12pm,reminder
i want to turn off every single reminder right now,cancel_all
Where did I keep my debit card?,search
Where did I place my keys?,search
Can you find my mouse?,search
10 hour reminder to water the plants,reminder
Remind me to go to gym after 2 minutes,reminder
NEVER MIND.,unclear
Give me my locker password,search
I have put my house keys in the hook,save
Note that meeting is tomorrow,save
cancel that breakfast reminder,cancel_specific
Set alarm for 6pm,reminder
Remind me every 30 minute to check email,reminder
I borrowed the glasses from Sarah,save
Recurring reminder every 20 hrs to attend meeting,reminder
What is the bank password?,search
CAN YOU GET RID OF ALL MY REMINDERS NOW,cancel_all
Remind me every 10 hours to clean room,reminder
Asdf?,unclear
My address is 00007459,save
I kept my notebook in the drawer,save
I want to stop the posture reminder,cancel_specific
can you stop the meditation reminder,cancel_specific
can you cancel the posture reminder,cancel_specific
I owe Tom 100 rupees,save
quickly stop all notifications immediately,cancel_all
got it!,unclear
The code for YouTube is admin123,save
could you i want to remove all reminders,cancel_all
hmmmm.,unclear
please stop all of them for me,cancel_all
PLEASE TURN OFF ALL REMINDERS PLEASE,cancel_all
I have put my documents in the drawer,save
Search for documents,search
I'd like to stop the call reminder,cancel_specific
Every 1 hrs read,reminder
clear all pending reminders immediately,cancel_all
Every 2 min eat breakfast,reminder
How are you!,unclear
xyz.,unclear
just turn off everything for me,cancel_all
Remind me to study in 20 hr,reminder
I want to cancel the email reminder,cancel_specific
Remember where my phone is?,search
Remind me to do laundry please,reminder
After 30 hr remind me to exercise,reminder
COULD YOU REMOVE ALL MY REMINDERS IMMEDIATELY,cancel_all
Please remove all recurring reminders,cancel_all
What now??,unclear
Wallet.,unclear
Look up bag,search
delete my study reminder,cancel_specific
Reminder in 20 mins to meditate,reminder
charge phone after 5 mins,reminder
I don't want the wake up reminder anymore,cancel_specific
eat lunch every 2 hour,reminder
BE!,unclear
Oops.,unclear
Set.,unclear
I have put my power bank in the cupboard,save
i need to clear all my reminders please,cancel_all
delete that walk reminder,cancel_specific
AN?,unclear
i want to just cancel all reminders right now,cancel_all
GPay password is password123,save
After 20 mins remind me to clean room,reminder
Recurring reminder every 60 minute to take a break,reminder
CAN YOU REMOVE ALL OF THEM,cancel_all
Not sure,unclear
I put my debit card in the cabinet,save
PIN for Gmail is 7890,save
I'd like to cancel the breakfast reminder,cancel_specific
please clear all recurring reminders,cancel_all
My passport is where?,search
Please find my sunglasses,search
please delete grocery reminder,cancel_specific
Set alarm for 1pm,reminder
The exam is at 3pm,save
turn off the call reminder,cancel_specific
PLEASE CAN YOU STOP ALL REMINDERS IMMEDIATELY,cancel_all
I have put my cable in the garage,save
Look for my ID card,search
Search for notebook,search
can you remove the walk reminder,cancel_specific
check email after 20 hours,reminder
I left my house keys on the locker,save
My boss's number is 55559577,save
Skip.,unclear
wallet?,unclear
Every 10 min water the plants,reminder
1 hrs reminder to eat dinner,reminder
nah?,unclear
Every 3 minutes remind me to go to gym,reminder
Remember that meeting is tomorrow,save
i need to turn off all of them please,cancel_all
My sister's phone number is 13577233,save
Locate my purse,search
can you delete the reading reminder,cancel_specific
i want to can you delete all my reminders,cancel_all
maybe,unclear
Remember where my medicine is?,search
Recall where I put my keyboard,search
OHH?,unclear
The code for Facebook is pass@123,save
Help me find my purse,search
don't remind me about reading anymore,cancel_specific
Is there any info on glasses?,search
Remind me to practice yoga in 15 hrs,reminder
The code for door is admin123,save
I want to remove the workout reminder,cancel_specific
The code for Google is admin123,save
MAYBE,unclear
Don't let me forget to eat breakfast,reminder
Hello,unclear
Where is the laptop?,search
Set alarm for 8pm to go to gym,reminder
Set alarm for 4pm to go to gym,reminder
Help me find my documents,search
delete the meeting reminder,cancel_specific
Repeat reminder to meditate every 15 hrs,reminder
Did I note where my notebook is?,search
Ehh!,unclear
great!,unclear
quickly clear all the reminders please,cancel_all
stop the evening reminder,cancel_specific
CANCEL ALL RECURRING REMINDERS FOR ME,cancel_all
Just turn off all reminders,cancel_all
Can you find my keyboard?,search
just just stop all reminders right now,cancel_all
Reminder at 6am to take vitamins,reminder
The locker password is test1234,save
I don't want the study reminder anymore,cancel_specific
Rem,unclear
My mom's anniversary is 43213816,save
delete the vitamins reminder,cancel_specific
cancel hydration reminder,cancel_specific
Please clear all my reminders for me,cancel_all
REMOVE EVERYTHING,cancel_all
can you remove the hydration reminder,cancel_specific
Recurring reminder every 2 mins to sleep,reminder
CAN YOU I WANT TO CLEAR ALL MY REMINDERS RIGHT NOW,cancel_all
cancel my water reminder,cancel_specific
I kept my glasses in the counter,save
Remove all my reminders immediately,cancel_all
Can you find my power bank?,search
Search for my camera,search
THANK YOU,unclear
What's the PIN for Netflix?,search
please cancel yoga reminder,cancel_specific
John owes me 5000,save
can you stop the daily reminder,cancel_specific
How?!,unclear
My anniversary is 98768207,save
remove that stretch reminder,cancel_specific
Find where I put my camera,search
My brother's phone number is 13575040,save
Remind me to water the plants in 3 hours,reminder
60 minute reminder to stretch,reminder
Remind me to eat lunch,reminder
The code for GPay is letmein,save
I want to delete the evening reminder,cancel_specific
PLEASE CLEAR ALL MY REMINDERS IMMEDIATELY,cancel_all
nah!,unclear
HMM.,unclear
I need to I want to turn off all reminders,cancel_all
Look up headphones,search
stop everything right now,cancel_all
When?.,unclear
I have exam at 5pm,save
Where did I store my earphones?,search
WOW.,unclear
Did I return the notebook?,search
What's up.,unclear
delete my gym reminder,cancel_specific
Remember where my tablet is?,search
no more wake up reminder,cancel_specific
Is,unclear
CANCEL ALL OF THEM FOR ME,cancel_all
Can you find my charger?,search
What is my phone password?,search
I borrowed the house keys from Mike,save
I borrowed the umbrella from friend,save
The call is at 3pm,save
Alarm at 12pm,reminder
Just i want to delete all reminders immediately,cancel_all
I need to just cancel all reminders,cancel_all
What did I save about umbrella?,search
Rem?,unclear
Every 45 hrs remind me to stand up,reminder
I'd like to delete the dinner reminder,cancel_specific
read reminder,reminder
CAN YOU CANCEL ALL RECURRING REMINDERS NOW,cancel_all
Where are the watch?,search
locker PIN is 9876,save
i want to can you cancel all reminders for me,cancel_all
Did I return the purse?,search
My brother's address is 12347978,save
Tell me where my iPad is,search
Help me find my tablet,search
I want to cancel the wake up reminder,cancel_specific
Remind me to drink water in 45 hour,reminder
but?,unclear
Where have I put my camera?,search
When?!,unclear
quickly get rid of all my reminders for me,cancel_all
The email password is secret456,save
idk,unclear
check email after 45 min,reminder
Just please delete all reminders immediately,cancel_all
Can you find my notebook?,search
delete the meditation reminder,cancel_specific
Recall where I put my headphones,search
I need to I want to stop all reminders,cancel_all
Every 45 hrs remind me to do laundry,reminder
Set alarm for 9am to call mom,reminder
Set?,unclear
dad has my purse,save
Search for my power bank,search
Remind me every 30 minutes to sleep,reminder
Remind me to read in 2 hour,reminder
QUICKLY STOP ALL PENDING REMINDERS NOW,cancel_all
Tell me my garage password,search
la la la?,unclear
can you delete all recurring reminders right now,cancel_all
After 5 minutes remind me to charge phone,reminder
At 8pm remind me to wake up,reminder
Remind me every 10 minute to exercise,reminder
I want to I want to cancel all my reminders please,cancel_all
Remember that call is at 2pm,save
Did I put debit card somewhere?,search
Just stop all alarms,cancel_all
COULD YOU TURN OFF ALL OF THEM IMMEDIATELY,cancel_all
Remember where my keys is?,search
remove that hourly reminder,cancel_specific
What is my YouTube PIN?,search
My umbrella is in the drawer,save
Reminder in 10 min to water the plants,reminder
My ID card is in the table,save
cancel email reminder,cancel_specific
eat dinner reminder,reminder
Repeat reminder to drink water every 60 min,reminder
Remind me to sleep after 10 minutes,reminder
so!,unclear
Remind me to wake up at 12pm,reminder
!!!?,unclear
Remind me to clean room please,reminder
Can you can you delete all reminders immediately,cancel_all
My Spotify password is pass@123,save
I borrowed the water bottle from Tom,save
Every 5 mins buy groceries,reminder
Did I save documents?,search
Where are my power bank?,search
I parked my phone in drawer,save
Emma has my iPad,save
Set a reminder to go to gym,reminder
Repeat reminder to check email every 10 mins,reminder
Where's my sunglasses?,search
Can you turn off every single reminder right now,cancel_all
turn off my rent reminder,cancel_specific
feed the pet reminder every 45 minute,reminder
Show me where my tablet is,search
I kept my keys in the dining table,save
Brb!,unclear
I kept my laptop in the cupboard,save
Remind me every 45 hr to study,reminder
just turn off all pending reminders,cancel_all
eat breakfast reminder every 60 minutes,reminder
I need to clear all the reminders right now,cancel_all
Did I save purse?,search
then?,unclear
Quickly i want to stop all my reminders immediately,cancel_all
What is neighbor's number?,search
i need to just stop all my reminders,cancel_all
Every 5 hrs remind me to meditate,reminder
Ahh,unclear
Where can I find my cable?,search
COULD YOU STOP EVERYTHING NOW,cancel_all
Search for credit card,search
please remove workout reminder,cancel_specific
Ummm?,unclear
What is boss's address?,search
delete my exercise reminder,cancel_specific
UH HUH,unclear
FINE!,unclear
PIN for Facebook is 9876,save
Remind me every 1 mins to eat lunch,reminder
I borrowed 500 from John,save
JUST CANCEL ALL MY REMINDERS,cancel_all
2 min reminder to do laundry,reminder
no more hourly reminder,cancel_specific
COULD YOU REMOVE EVERY REMINDER NOW,cancel_all
Nothing,unclear
i want to clear all scheduled reminders right now,cancel_all
I no longer need the meeting reminder,cancel_specific
please remove medicine reminder,cancel_specific
Keys.,unclear
Is there any info on phone?,search
The glasses is in the bedroom,save
MHM,unclear
remove the call reminder,cancel_specific
go to gym reminder,reminder
Set alarm for 6am to read,reminder
My sister's address is 55558516,save
Where can I find my book?,search
COOL?,unclear
Then?.,unclear
My bank password is test1234,save
could you delete all scheduled reminders right now,cancel_all
3 hr reminder to drink water,reminder
could you kill all reminders,cancel_all
Recurring reminder every 45 hour to take a break,reminder
Do I owe friend money?,search
stop reminding me about hourly,cancel_specific
friend owes me 5000,save
Remind me to call dad at 7am,reminder
Look for my laptop,search
60 hours reminder to feed the pet,reminder
Is there any info on TV remote?,search
Hello.,unclear
I owe Sarah 100 rupees,save
Bbb!,unclear
PIN for Spotify is 1234,save
I want to delete the exercise reminder,cancel_specific
delete the reminder to stretch,cancel_specific
can you remove the grocery reminder,cancel_specific
Give me my Spotify password,search
The Google password is pass@123,save
Where did I store my keys?,search
I want to stop the morning reminder,cancel_specific
Remind me to practice yoga after 45 hr,reminder
deactivate exercise reminder,cancel_specific
i want to turn off all recurring reminders for me,cancel_all
My address is 24682741,save
just wondering,unclear
I borrowed the bike keys from John,save
I WANT TO TURN OFF EVERY SINGLE REMINDER IMMEDIATELY,cancel_all
My WiFi password is admin123,save
I'd like to delete the workout reminder,cancel_specific
Does Tom owe me money?,search
no need for posture reminder,cancel_specific
eat breakfast every 30 mins,reminder
please stop hourly reminder,cancel_specific
JUST CAN YOU TURN OFF ALL MY REMINDERS IMMEDIATELY,cancel_all
Remind me to call dad every 5 hours,reminder
After 15 hours remind me to practice yoga,reminder
Sure.,unclear
Can you stop all active reminders right now,cancel_all
lol!,unclear
I want to stop the gym reminder,cancel_specific
What is the YouTube password?,search
Show me where my debit card is,search
Hmm okay?,unclear
PLEASE I WANT TO REMOVE ALL REMINDERS PLEASE,cancel_all
Omg!,unclear
I want to delete the meditation reminder,cancel_specific
ahh?,unclear
3 hours reminder to eat lunch,reminder
please clear all notifications please,cancel_all
I want to stop the study reminder,cancel_specific
delete evening reminder,cancel_specific
remove lunch reminder,cancel_specific
could you turn off all the reminders please,cancel_all
I need to delete all active reminders,cancel_all
Just turn off all reminders for me,cancel_all
GOOD EVENING?,unclear
go to gym every 2 minute,reminder
...,unclear
it?,unclear
What is friend's number?,search
Does Mike owe me money?,search
My dad's phone number is 13577403,save
I stored my credit card in the front pocket,save
45 mins reminder to study,reminder
???!,unclear
remove morning reminder,cancel_specific
Did I return the watch?,search
quickly can you stop all reminders immediately,cancel_all
The Netflix password is abc123,save
PIN for garage is 7890,save
Whatever?,unclear
My remote is in the garage,save
SKIP?,unclear
Just please stop all reminders right now,cancel_all
Did I return the car keys?,search
Just wondering.,unclear
Password for Netflix is secret456,save
What do I have saved about phone?,search
I lent 5000 to John,save
La la la,unclear
Netflix password is abc123,save
Lol,unclear
I WANT TO STOP ALL THE REMINDERS,cancel_all
Search for my tablet,search
Where can I find my camera?,search
FORGET IT,unclear
What is my email PIN?,search
Did I note where my glasses is?,search
stop all alarms right now,cancel_all
can you delete the posture reminder,cancel_specific
Where are my debit card?,search
Please just delete all reminders please,cancel_all
The?,unclear
Where did I store my watch?,search
stop that evening reminder,cancel_specific
Search for my house keys,search
Tom has my water bottle,save
My brother's phone number is 00008026,save
My phone number is 24689359,save
Find the sunglasses,search
Remind me at 4pm to sleep,reminder
Reminder in 20 hour to exercise,reminder
My mom's birthday is 78908405,save
Then??,unclear
Have I saved anything about backpack?,search
I'd like to stop the bills reminder,cancel_specific
stop that rent reminder,cancel_specific
clean room reminder every 5 min,reminder
eat dinner every 10 hrs,reminder
My call is at 5pm,save
REM!,unclear
I parked my keys in bottom drawer,save
CAN YOU I WANT TO STOP ALL MY REMINDERS PLEASE,cancel_all
get!,unclear
The cable is in the lot B,save
The exam is tomorrow,save
remove study reminder,cancel_specific
hello.,unclear
My sunglasses is where?,search
Locate my backpack,search
I want to delete all scheduled reminders for me,cancel_all
I don't need the grocery reminder,cancel_specific
My neighbor's anniversary is 55558954,save
no more study reminder,cancel_specific
I parked my wallet in garage,save
Reminder in 45 hours to stand up,reminder
Did I return the iPad?,search
Yo,unclear
After 30 hours remind me to walk around,reminder
BUT?,unclear
stop my sleep reminder,cancel_specific
can you stop all notifications please,cancel_all
I'd like to delete the sleep reminder,cancel_specific
I put my car keys in the office,save
The ATM password is letmein,save
delete meditation reminder,cancel_specific
The deadline is next week,save
Lol.,unclear
I WANT TO CLEAR ALL RECURRING REMINDERS PLEASE,cancel_all
2 minute reminder to take a break,reminder
UH?,unclear
My watch is in the counter,save
QUICKLY TURN OFF EVERYTHING RIGHT NOW,cancel_all
meditate after 5 hour,reminder
I'd like to cancel the grocery reminder,cancel_specific
Where are the tablet?,search
Did I put passport somewhere?,search
I want to remove the dinner reminder,cancel_specific
I WANT TO CANCEL ALL THE REMINDERS RIGHT NOW,cancel_all
cancel the morning reminder,cancel_specific
Search power bank,search
Where are my charger?,search
cancel my lunch reminder,cancel_specific
What was the YouTube password?,search
Where did I leave my documents?,search
JUST REMOVE ALL RECURRING REMINDERS,cancel_all
What's my Spotify password?,search
My bike keys is in the backpack,save
In 1 minutes remind me to clean room,reminder
QUICKLY TURN OFF EVERYTHING PLEASE,cancel_all
help.,unclear
Ahh?,unclear
I have flight on Friday,save
I want to stop the hydration reminder,cancel_specific
remove that breakfast reminder,cancel_specific
Remind me to stretch in 5 minute,reminder
After 15 hrs remind me to charge phone,reminder
good morning.,unclear
PIN for email is 9876,save
I have interview tomorrow,save
Find where I put my headphones,search
Where did I place my water bottle?,search
WAIT!,unclear
could you just clear all reminders immediately,cancel_all
car keys is in the cupboard,save
My anniversary is 24688530,save
what now?!,unclear
Did I save power bank?,search
